County,Year,All causes (total),Alzheimer's disease,Malignant neoplasms,Chronic lower respiratory diseases,Diabetes mellitus,Assault (homicide),Diseases of heart,Essential hypertension and hypertensive renal disease,Accidents (unintentional injuries),Chronic liver disease and cirrhosis,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease,Influenza and pneumonia,Cerebrovascular diseases,Intentional self-harm (suicide),annual_mean_pm25,annual_mean_ozone,annual_mean_pb,annual_mean_pm10,annual_mean_co,annual_mean_no2,annual_mean_so2,FIPS,asthma_er_avg,cancer_incidence_rate,asthma_deaths,Bladder_Surgery_Ct,Brain_Surgery_Ct,Breast_Surgery_Ct,Colon_Surgery_Ct,Esophagus_Surgery_Ct,Liver_Surgery_Ct,Lung_Surgery_Ct,Pancreas_Surgery_Ct,Prostate_Surgery_Ct,Rectum_Surgery_Ct,Stomach_Surgery_Ct,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,tree_canopy,supermarkets,park_access,h2o_contam,Population
Humboldt,2018,0.009662810839376413,1.908340917765186e-4,0.001978068758991222,5.321335251460615e-4,3.4863920613017823e-4,9.54170458882593e-5,0.0021028448959220223,NA,6.642494348374974e-4,3.046005695663662e-4,NA,1.064267050292123e-4,1.6147500073397729e-4,0.0011009659140952996,2.642318193828719e-4,7.590645161290323,0.029120234604105573,NA,18.063253012048193,0.23277777777777778,4.431055900621118,0.11664145234493192,6023,717.6666666666666,109.7,9,1.4679545521270661e-5,2.2019318281905992e-5,8.147147764305218e-4,2.5689204662223655e-4,7.3397727606353305e-6,7.3397727606353305e-6,6.605795484571798e-5,2.2019318281905992e-5,5.8718182085082644e-5,8.073750036698864e-5,7.3397727606353305e-6,-0.11013802713793104,-0.6238763656551725,-0.06416548655172413,0.08957163003448276,-0.1701246489310345,0.4213312447241379,1.380379778137931,0.05489175786206897,-0.08031116537931034,77.34482758620689,95.85172413793103,56.5551724137931,92.20689655172414,10.793430325103449,53.779310344827586,97.10689655172413,28.16896551724138,62.88965517241379,55.428225266206894,43189.03448275862,35.700943972413796,33.6807392587931,46.8323624137931,239.62552509034484,NA
Humboldt,2019,0.010065802092093422,1.8073444577228936e-4,0.0023606131692707182,7.155608669351865e-4,2.9138818808185425e-4,NA,0.002017586568111067,1.327844907714779e-4,7.671992800129834e-4,2.766343557739123e-4,NA,1.327844907714779e-4,1.6966907154133287e-4,0.0011102258811726347,2.1761902654214433e-4,6.7878504672897195,0.028292899408284024,NA,14.706896551724139,0.2863509749303621,5.724,0.5896341463414634,6023,717.6666666666666,109.7,9,7.376916153970994e-6,1.4753832307941988e-5,6.344147892415055e-4,2.581920653889848e-4,7.376916153970994e-6,1.4753832307941988e-5,8.114607769368094e-5,7.376916153970994e-6,7.376916153970994e-5,9.589991000162292e-5,1.4753832307941988e-5,-0.11013802713793104,-0.6238763656551725,-0.06416548655172413,0.08957163003448276,-0.1701246489310345,0.4213312447241379,1.380379778137931,0.05489175786206897,-0.08031116537931034,77.34482758620689,95.85172413793103,56.5551724137931,92.20689655172414,10.793430325103449,53.779310344827586,97.10689655172413,28.16896551724138,62.88965517241379,55.428225266206894,43189.03448275862,35.700943972413796,33.6807392587931,46.8323624137931,239.62552509034484,NA
Imperial,2017,0.005301432983391046,1.4588574668729254e-4,0.0011808487797895942,1.6515367549504813e-4,2.8351380959983264e-4,NA,0.0012799409850866232,1.128550115882829e-4,3.7159576986385833e-4,8.532939900577487e-5,1.0184476655527968e-4,NA,2.0919465562706097e-4,1.7891648178630214e-4,1.0184476655527968e-4,11.647614314115309,0.04166566940912491,0.015607407407407407,43.98502495840266,0.4162748643761302,23.653603603603603,1.863888888888889,6025,1212,106.9,NA,0,2.7525612582508023e-5,1.9267928807755616e-4,9.358708278052729e-5,0,0,0,0,3.303073509900963e-5,1.6515367549504816e-5,5.505122516501604e-6,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923,181649
Imperial,2018,0.0058504982839640155,2.038309194978047e-4,0.0010329269569145508,2.561658853148086e-4,3.4706345752328905e-4,NA,0.0012422668201825663,2.1484880703822657e-4,6.004748709529922e-4,1.1293334728932422e-4,1.487414817956953e-4,NA,1.5700489745101173e-4,2.974829635913906e-4,6.610732524253125e-5,12.108333333333333,0.039645161290322584,0.010366521739130434,50.61179775280899,0.6045584045584046,23.419103313840157,1.5391167192429023,6025,1212,106.9,NA,5.5089437702109375e-6,2.7544718851054687e-5,2.8646507605096876e-4,9.916098786379687e-5,0,0,0,0,6.610732524253125e-5,2.7544718851054687e-5,1.1017887540421875e-5,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923,181523
Imperial,2019,0.005410699997240847,2.897111166294181e-4,9.463896476560991e-4,1.462351350605634e-4,3.614491074138454e-4,6.34605303093011e-5,0.0011202163176337499,1.8486328394448583e-4,4.41464558673399e-4,1.517534420439809e-4,1.4899428855227217e-4,6.34605303093011e-5,1.903815909279033e-4,2.1245481886157327e-4,6.070137681759236e-5,9.570178926441352,0.03775974025974026,0.01531625,36.50390189520624,0.4438356164383562,20.959049360146253,1.241715976331361,6025,1212,106.9,NA,5.518306983417488e-6,1.655492095025246e-5,2.26250586320117e-4,1.1036613966834975e-4,0,0,0,5.518306983417488e-6,7.725629776784483e-5,1.655492095025246e-5,1.6554920950252465e-5,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923,181215
Inyo,2017,0.01166890530557421,NA,0.0019867920304454893,0.001091336467427804,NA,0,0.0023505708529214238,NA,8.954555630176853e-4,NA,NA,0,NA,NA,NA,6.177966101694915,0.03994597249508841,NA,20.92035232383808,0.11986970684039089,NA,0.13164556962025317,6027,94.66666666666667,147.2,NA,0,0,5.036937541974479e-4,2.2386389075442132e-4,0,0,0,0,0,0,0,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667,17868
Inyo,2018,0.010475872060626324,NA,0.0019224339685723838,9.751476652178759e-4,NA,0,0.0022289089490694306,NA,6.686726847208291e-4,NA,NA,NA,7.243954084475649e-4,6.686726847208291e-4,NA,6.812189616252821,0.04259241245136187,NA,17.15899814471243,0.13168044077134985,NA,0.1434959349593496,6027,94.66666666666667,147.2,NA,0,0,0.0010030090270812437,2.2289089490694304e-4,0,0,0,0,0,1.1144544745347152e-4,0,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667,17946
Inyo,2019,0.011197959975608403,NA,0.001967958312545041,9.978380176284716e-4,NA,0,0.002439159598647375,6.097898996618437e-4,0.0014967570264427074,NA,NA,NA,0,7.760962359332557e-4,NA,4.695454545454545,0.042633774160732454,NA,14.249305426930913,0.11013698630136987,NA,0.13278236914600552,6027,94.66666666666667,147.2,NA,0,0,0.0011087089084760797,3.326126725428239e-4,0,0,0,0,0,0,0,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667,18039
Kern,2017,0.006710384558170565,3.6118536416049476e-4,0.0012683748123639216,4.006283836476003e-4,3.0258430663679517e-4,1.1156739797781274e-4,0.0015692687038798409,1.0875003944301949e-4,5.933357074274587e-4,1.3523320967007604e-4,1.470661155162077e-4,7.888603897421103e-5,9.917102042472244e-5,2.6201434373577235e-4,1.335427945492001e-4,11.25320197044335,0.05323016157989228,0.0043254545454545455,34.99120603015076,0.2906815020862309,22.803012912482068,NA,6029,4479,115.8,24,4.507773655669202e-6,4.8458566798443916e-5,4.0795351583806276e-4,1.2621766235873766e-4,2.253886827834601e-6,7.888603897421103e-6,2.704664193401521e-5,4.507773655669202e-6,7.212437849070723e-5,4.0569962901022816e-5,9.015547311338404e-6,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234,887356
Kern,2018,0.006780358889095259,3.944020640934123e-4,0.0012704781383775026,4.4810787707634503e-4,3.2671036231284083e-4,1.258729991787486e-4,0.0016011045495536824,1.0349557710252664e-4,5.225128054797831e-4,1.4880985680687614e-4,1.2251638586731532e-4,8.223702613011576e-5,1.2027864365969312e-4,3.0992729575567433e-4,1.1412485258873207e-4,11.643714011516314,0.052630465444287726,0.00374671875,33.80925778132482,0.29121951219512193,23.067616959064328,NA,6029,4479,115.8,24,3.356613311433296e-6,4.475484415244395e-5,4.385974726939507e-4,1.2867017693827637e-4,0,8.95096883048879e-6,1.2307582141922086e-5,3.356613311433296e-6,1.0741162596586548e-4,5.034919967149944e-5,1.2307582141922086e-5,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234,893758
Kern,2019,0.006905116851551096,3.81025592033788e-4,0.0012252805481436388,4.9766607939107e-4,3.5047689296402364e-4,1.0164385326848862e-4,0.0015935312296573435,1.1330790200421683e-4,5.909784692768956e-4,1.7940417817334333e-4,8.886894274840536e-5,7.831575579703222e-5,1.227502271712349e-4,3.3770198244394037e-4,1.444120319661587e-4,8.333493282149712,0.04969013088079236,0.0036576923076923075,28.870304748405385,0.32664835164835165,23.879849012775843,NA,6029,4479,115.8,24,4.443447137420268e-6,4.110188602113748e-5,3.888016245242734e-4,1.344142759069631e-4,0,2.221723568710134e-6,3.1104129961941876e-5,4.443447137420268e-6,8.886894274840536e-5,6.109739813952868e-5,8.886894274840536e-6,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234,900202
Kings,2017,0.005686032138442522,2.0712925533691913e-4,0.0012160491764941703,3.0401229412354257e-4,1.269501887548859e-4,NA,0.0013897704874219088,NA,3.6080579961914944e-4,1.7038051648682058e-4,8.68606554638693e-5,NA,1.2360939431396787e-4,2.5055958306885375e-4,1.6369892760498446e-4,16.68937728937729,0.04893069306930693,NA,52.62578334825425,NA,18.283426966292136,NA,6031,886.6666666666666,103.6,NA,0,0,2.6726355527344404e-4,9.35422443457054e-5,6.681588881836101e-6,0,6.681588881836101e-6,0,6.681588881836101e-6,6.013429993652491e-5,6.681588881836101e-6,-0.4535058686,-0.68102336664,-0.53948333608,0.12884062788,-0.0369813046,-0.36147586312,-0.891151691,-0.16797650396,-0.37844370936,78.96,90.732,51.06,93.14,4.30549931636,34.816,96.908,14.164,62.236,50.2855359368,48402,2.859606156,32.127436770016,41.8663644,555.512933344,149665
Kings,2018,0.005469606690359488,2.146886684017915e-4,0.0012253768611856098,2.54323499491353e-4,1.3872190881346528e-4,NA,0.0013905219907254496,8.58754673607166e-5,3.534105772152568e-4,1.4202481140426207e-4,1.4532771399505885e-4,NA,8.917836995151339e-5,2.3120318135577545e-4,1.222073958594813e-4,17.518765743073047,0.0479056338028169,NA,54.82998171846435,NA,19.276044568245126,NA,6031,886.6666666666666,103.6,NA,0,0,2.2459737617418188e-4,1.717509347214332e-4,6.605805181593584e-6,0,6.605805181593584e-6,0,3.302902590796792e-5,3.963483108956151e-5,6.605805181593584e-6,-0.4535058686,-0.68102336664,-0.53948333608,0.12884062788,-0.0369813046,-0.36147586312,-0.891151691,-0.16797650396,-0.37844370936,78.96,90.732,51.06,93.14,4.30549931636,34.816,96.908,14.164,62.236,50.2855359368,48402,2.859606156,32.127436770016,41.8663644,555.512933344,151382
Kings,2019,0.0054727344056492745,1.7327056361972015e-4,0.0011409703151562705,2.7461749705766966e-4,1.601935399503073e-4,NA,0.0012652020400156924,NA,3.6288740682620635e-4,1.5365502811560088e-4,1.307702366941284e-4,NA,8.173139793383026e-5,3.3019484765267425e-4,1.7000130770236695e-4,12.134409937888199,0.04528169014084507,NA,48.43517679057117,NA,18.630113636363635,NA,6031,886.6666666666666,103.6,NA,0,0,2.157708905453119e-4,1.3730874852883483e-4,0,0,1.9615535504119263e-5,0,6.538511834706421e-6,1.9615535504119263e-5,6.538511834706421e-6,-0.4535058686,-0.68102336664,-0.53948333608,0.12884062788,-0.0369813046,-0.36147586312,-0.891151691,-0.16797650396,-0.37844370936,78.96,90.732,51.06,93.14,4.30549931636,34.816,96.908,14.164,62.236,50.2855359368,48402,2.859606156,32.127436770016,41.8663644,555.512933344,152940
Lake,2017,0.01179984714011636,3.119589462026797e-4,0.0024956715696214378,8.188922337820343e-4,3.665517617881487e-4,NA,0.002456676701346103,NA,9.98268627848575e-4,2.8076305158241174e-4,2.0277331503174183e-4,NA,2.6516510427227776e-4,5.381291821996225e-4,3.353558671678807e-4,5.928813559322034,0.037047619047619045,NA,11.855555555555556,NA,NA,NA,6033,498.6666666666667,123,NA,0,0,3.119589462026797e-5,9.35876838608039e-5,0,0,1.5597947310133985e-5,0,0,3.119589462026797e-5,0,-0.49463040573333333,-1.1634957491333333,-0.40369251840000003,-0.012748836800000002,-0.3243973456,-0.044923511333333326,1.1686215607333332,-0.2149803714,-0.5251978699333334,75.47333333333333,96.40666666666667,62.13333333333333,91.88666666666667,4.904993288066667,43.28,97.24,14.78,53.64,48.190071772,37106.53333333333,18.263615106666666,18.63627690774,38.26512133333333,291.02162159333335,64111
Lake,2018,0.011684313634031438,1.710278775440397e-4,0.002573192157594415,0.001002845281962778,2.098978497131396e-4,NA,0.002246684391373976,NA,0.001033941259698058,3.109597773527994e-4,2.176718441469596e-4,1.9434986084549964e-4,2.3321983301459955e-4,4.353436882939192e-4,3.265077662204394e-4,9.154237288135594,0.03539093484419263,NA,13.653631284916202,NA,NA,NA,6033,498.6666666666667,123,NA,0,0,1.554798886763997e-5,1.088359220734798e-4,0,3.109597773527994e-5,0,0,0,4.664396660291991e-5,0,-0.49463040573333333,-1.1634957491333333,-0.40369251840000003,-0.012748836800000002,-0.3243973456,-0.044923511333333326,1.1686215607333332,-0.2149803714,-0.5251978699333334,75.47333333333333,96.40666666666667,62.13333333333333,91.88666666666667,4.904993288066667,43.28,97.24,14.78,53.64,48.190071772,37106.53333333333,18.263615106666666,18.63627690774,38.26512133333333,291.02162159333335,64317
